nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	WDSsep	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	WDSsep	name	
0	1.46615	3.13747	2.29325	0.00000	2.75693	2.29331	1.90873	1.89903	0.05849	0.04321	0.08159	1.74067	0.01866	0.01866	0.00121	0.00124	1.66630	0.44285	311.49308	0	0.11600	0.08800	2630.00000	15.04000	M	1.17278	-20.97497	60.40897	-77.69088	inf	SIPSJ0004-2058
0	0.54869	103.86024	0.07180	0.00000	2.75693	1.47491	0.37264	5.59737	0.38019	0.59027	0.01499	1.74067	0.19235	0.19235	0.01270	0.01279	0.01568	0.37824	87.38427	0	0.11600	0.08800	2630.00000	15.04000	M	1.17278	-20.97497	60.40897	-77.69088	inf	SIPSJ0004-2058
0	1.31115	0.69134	4.18489	0.00000	1.91437	3.89714	6.09634	1.40315	0.71503	0.19306	0.02203	1.70501	0.00761	0.00761	0.00097	0.00207	27.93641	0.01208	467.51650	1	0.15600	0.12300	2930.89325	3.67000	M	53.99875	-44.51270	251.86978	-52.90489	inf	L372-58
0	2.27050	24.07235	3.40098	0.00000	1.91437	3.81849	5.48894	4.59850	0.74159	0.44157	0.03733	1.70501	0.08115	0.08115	0.01802	0.02211	0.24570	0.66302	139.71136	1	0.15600	0.12300	2930.89325	3.67000	M	53.99875	-44.51270	251.86978	-52.90489	inf	L372-58
0	0.51309	76.28009	0.08653	0.00000	1.91437	4.51534	5.55768	0.05918	0.38271	0.15313	0.04028	1.70501	0.17507	0.17507	0.03879	0.04770	0.05279	0.66491	118.25276	1	0.15600	0.12300	2930.89325	3.67000	M	53.99875	-44.51270	251.86978	-52.90489	inf	L372-58
0	5.10994	427.52501	20.66809	0.00000	1.91437	4.92169	0.62989	6.19422	0.04799	0.31522	0.08512	1.70501	0.55239	0.55239	0.13164	0.15052	0.00530	0.11409	74.18781	1	0.15600	0.12300	2930.89325	3.67000	M	53.99875	-44.51270	251.86978	-52.90489	inf	L372-58
0	0.79028	0.69221	0.71780	0.00000	2.13891	4.18531	1.27387	4.20777	0.22510	0.40783	0.07253	0.73558	0.01247	0.01247	0.00059	0.00075	227.19207	0.68149	1013.82666	2	0.54400	0.54000	3393.00000	16.71000	M	19.46095	28.67049	129.90741	-33.84335	inf	Ross324
0	1.60027	1.36369	2.76391	0.00000	2.13891	3.30340	5.94787	5.65156	0.73740	0.50926	0.09059	0.73558	0.01960	0.01960	0.00084	0.00117	91.99424	0.74550	617.04367	2	0.54400	0.54000	3393.00000	16.71000	M	19.46095	28.67049	129.90741	-33.84335	inf	Ross324
0	1.60334	12.33372	4.36214	0.00000	2.13891	5.21682	0.23560	0.28674	0.36474	0.02445	0.01278	0.73558	0.08508	0.08508	0.00462	0.00509	4.88189	0.13663	369.35101	2	0.54400	0.54000	3393.00000	16.71000	M	19.46095	28.67049	129.90741	-33.84335	inf	Ross324
0	5.22851	19.83593	15.78324	0.00000	2.13891	1.06122	4.63706	3.59030	0.34518	0.51046	0.08186	0.73558	0.11679	0.11679	0.00433	0.00699	2.59086	0.03028	317.64747	2	0.54400	0.54000	3393.00000	16.71000	M	19.46095	28.67049	129.90741	-33.84335	inf	Ross324
